time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,,avg_bid_order_size,avg_ask_order_size,,bid_vwap,Bid Vwap change,ask_vwap,ask vwap change,bid_50pct_level,ask_50pct_level,order ratio,OIMBR,Bids Avg value,Ask avg value,ratio
15:21:57,49543,NIFTY DEC 2025 FUT,25959.6,25961,1.4,109500,105450,430,515,1.0384,0%,254.65,204.76,1.243651104,25929.81,0%,25989.14,0%,116,95,0.834951456,1.243665116,283.9314195,274.0554813,1.036036273
15:21:57,49543,NIFTY DEC 2025 FUT,25959.6,25961,1.4,109425,105075,432,511,1.0414,0%,253.3,205.63,1.23182415,25929.8,0%,25989.18,0%,116,96,0.845401174,1.231841204,283.7368365,273.0813089,1.039019615
15:21:57,49543,NIFTY DEC 2025 FUT,25959.5,25961,1.5,110475,105000,439,510,1.0521,1%,251.65,205.88,1.222313969,25929.89,0%,25989.11,0%,114,97,0.860784314,1.222257403,286.4604598,272.885655,1.049745395
15:21:57,49543,NIFTY DEC 2025 FUT,25959.5,25961,1.5,112050,105150,449,512,1.0656,1%,249.55,205.37,1.215123923,25930.26,1%,25989.16,0%,114,96,0.876953125,1.215116258,290.5485633,273.2760174,1.063205495
15:21:58,49543,NIFTY DEC 2025 FUT,25959.5,25961,1.5,111675,105075,448,511,1.0628,0%,249.27,205.63,1.212225843,25930.27,0%,25989.09,0%,114,97,0.876712329,1.21225625,289.5762902,273.0803632,1.060406859
15:21:58,49543,NIFTY DEC 2025 FUT,25959.5,25960.9,1.4,112875,104925,452,510,1.0758,1%,249.72,205.74,1.213764946,25930.54,1%,25989.12,0%,111,97,0.88627451,1.213845133,292.6909703,272.6908416,1.073343602
15:21:58,49543,NIFTY DEC 2025 FUT,25959.5,25960.9,1.4,113100,105000,454,510,1.0771,0%,249.12,205.88,1.210025257,25930.59,0%,25989.06,0%,110,98,0.890196078,1.20995815,293.2749729,272.88513,1.074719509
15:21:58,49543,NIFTY DEC 2025 FUT,25959.5,25960.9,1.4,112950,104100,452,506,1.085,1%,249.89,205.73,1.21465027,25930.66,0%,25989.29,1%,112,100,0.893280632,1.214623894,292.8868047,270.5485089,1.082566693
15:21:58,49543,NIFTY DEC 2025 FUT,25959.5,25960.9,1.4,113625,104025,460,505,1.0923,1%,247.01,205.99,1.19913588,25930.36,-1%,25989.31,0%,108,100,0.910891089,1.199155435,294.6337155,270.3537973,1.089807942
15:21:59,49543,NIFTY DEC 2025 FUT,25959.5,25960.9,1.4,113625,103875,460,505,1.0939,0%,247.01,205.69,1.200884827,25930.36,0%,25989.33,0%,108,100,0.910891089,1.200911957,294.6337155,269.9641654,1.091380832
15:21:59,49543,NIFTY DEC 2025 FUT,25959.2,25960.9,1.7,113700,103950,460,505,1.0938,0%,247.17,205.84,1.200787019,25930.38,0%,25989.27,0%,108,101,0.910891089,1.200802174,294.8284206,270.1584617,1.091316625
15:21:59,49543,NIFTY DEC 2025 FUT,25959.7,25960.9,1.2,113775,104025,461,506,1.0937,0%,246.8,205.58,1.200505886,25930.39,0%,25989.3,0%,108,100,0.911067194,1.200460304,295.0230122,270.3536933,1.091248315
15:21:59,49543,NIFTY DEC 2025 FUT,25959.7,25960.9,1.2,113025,104025,456,506,1.0865,-1%,247.86,205.58,1.205662029,25930.48,0%,25989.3,0%,110,100,0.901185771,1.205633772,293.0792502,270.3536933,1.084058615
15:22:00,49543,NIFTY DEC 2025 FUT,25959.7,25960.9,1.2,113325,104025,459,506,1.0894,0%,246.9,205.58,1.200992314,25930.35,-1%,25989.3,0%,109,100,0.907114625,1.200950763,293.8556914,270.3536933,1.086930561
